department,allocation_ratio,allocation_percent,building_name_allocation,b_code,meter_id,include_in_dashboard,source_sheet
สก.ชธธ.,1.0,100.0,ท.0007 อาคาร กองบริหาร ชธธ.,T.0007,T.0007__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,1.0,100.0,ต.0026 อาคารระบบประปา,D.0026,D.0026__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,1.0,100.0,ต.0017 อาคาร โรงอาหาร,D.0017,D.0017__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0017 ร้านอาหาร 1 (จ๊ายตี๋),D.0017,D.0017__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0017 ร้านอาหาร 2 (ก๋วยเตี๋ยวสะบัดเส้น),D.0017,D.0017__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0017 ร้านอาหาร 3 (ร้านอาหารไม่ปิด),D.0017,D.0017__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0017 ตู้ ATM ธนาคารกรุงไทย,D.0017,D.0017__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0017 ร้านกาแฟ ใหม่,D.0017,D.0017__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,1.0,100.0,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ,D.0019,D.0019__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านอาหาร 4 (ครัวเทคแคร์),D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านอาหาร 5 (ตี๋ใหญ่ข้าวมันไก่),D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านอาหาร 6 (ก๋วยเตี๋ยวแก้วขวัญ),D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านอาหาร 7 (ต้อมผลไม้สด),D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านอาหาร 8 (ปั้นไปเรื่อย),D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านอาหาร 9 (อาอิซะห์อาหารอิสลาม),D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ต.0019 ร้านสหกรณ์,D.0019,D.0019__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,1.0,100.0,ต.0025 อาคารอเนกประสงค์,D.0025,D.0025__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.16666666666666666,16.666666666666664,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. ระบบแสงสว่าง 1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. (EMDB),T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,1.0,100.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ. ระบบแสงสว่าง 3,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 3,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 3,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ.ร้านกาแฟ,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,1.0,100.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะงานเดิมเครื่องและบำรุงรักษา,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 1,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 1,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 1,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 ชั้นที่ 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 2,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 ชั้นที่ 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 3,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0020 แอร์รวม,T.0020,,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0833333,8.33333,ท.0019 ชั้นที่ 9 (รวม),T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบแสงสว่าง 9,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
สก.ชธธ.,0.0,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
