source_form,reading_date,week_id,meter_id,b_code,subb_code,building_name,raw_reading,raw_unit,normalized_kwh,usage_kwh,reader,note
forms/2025-W01.csv,2025-01-03,2025-W01,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7891.0,kWh,7891.0,0,,
forms/2025-W02.csv,2025-01-10,2025-W02,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7891.0,kWh,7891.0,0,,
forms/2025-W03.csv,2025-01-17,2025-W03,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7894.0,kWh,7894.0,3.0,,
forms/2025-W04.csv,2025-01-24,2025-W04,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7897.0,kWh,7897.0,3.0,,
forms/2025-W05.csv,2025-01-31,2025-W05,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7901.0,kWh,7901.0,4.0,,
forms/2025-W06.csv,2025-02-07,2025-W06,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7903.0,kWh,7903.0,2.0,,
forms/2025-W07.csv,2025-02-14,2025-W07,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7903.0,kWh,7903.0,0,,
forms/2025-W08.csv,2025-02-21,2025-W08,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7905.0,kWh,7905.0,2.0,,
forms/2025-W09.csv,2025-02-28,2025-W09,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7906.0,kWh,7906.0,1.0,,
forms/2025-W10.csv,2025-03-07,2025-W10,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7908.0,kWh,7908.0,2.0,,
forms/2025-W11.csv,2025-03-14,2025-W11,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7911.0,kWh,7911.0,3.0,,
forms/2025-W12.csv,2025-03-21,2025-W12,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7915.0,kWh,7915.0,4.0,,
forms/2025-W13.csv,2025-03-28,2025-W13,B.0001__FL01__MDB,B.0001,MDB,บ.0001 อาคาร แฟลต อบค.,7919.0,kWh,7919.0,4.0,,
