วันที่เติมน้ำมัน (ตามใบเสร็จ),ฝ่าย1,กอง,แผนก,ประเภทน้ำมัน,จำนวนน้ำมันที่เติม,ราคาน้ำมันที่จ่าย,ทะเบียนรถ,เลขข้างรถ,ยืนยัน
2026-05-07,อบฟ.,กททอ-ธ.,หทอฟ-ธ.,ดีเซล,33.87,1400,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-06,อบฟ.,กททอ-ธ.,หทอฟ-ธ.,ดีเซล,24.3,1000,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-06,อบย.,กคข-ธ.,หวข-ธ.,ดีเซล,65.2,2700,1นธ037 กทม.,07-12248 ชธธ,ยืนยัน
2026-05-07,อบย.,กคข-ธ.,หวข-ธ.,ดีเซล,65.72,2700,1นธ4037 กทม.,07-12248 ชธธ,ยืนยัน
2026-05-08,อบย.,กคข-ธ,หวข-ธ.,ดีเซล,23.001,920,1นธ4037 กทม. ,07-12248 ชธธ,ยืนยัน
2026-05-05,อคม. ,กคว-ธ.,หวล-ธ. ,ดีเซล,48.65,2000,1นช4049 กทม.,07-12258 ชธธ. ,ยืนยัน
2026-05-08,อคม.,กคว-ธ.,หวล-ธ.,ดีเซล,40.0,1600,1นช4049 กทม.,07-12258 ชธธ. ,ยืนยัน
2026-05-06,อคม.,กคว-ธ.,หวล-ธ.,ดีเซล,24.869,1000,1นช4049 กทม.,07-12258 ชธธ. ,ยืนยัน
2026-05-06,อคม. ,กคว-ธ.,หวล-ธ.,ดีเซล,48.379,2000,1นช4049 กทม.,07-12258 ชธธ. ,ยืนยัน
2026-05-11,อบย.,กบร-ธ.,หบฟ2-ธ.,ดีเซล,42.236,1700,1นช4070 กทม.,07-12273 ชธธ.,ยืนยัน
2026-05-08,อคม.,กคว-ธ.,หวล-ธ.,ดีเซล,29.955,1200,1นช4043 กทม.,07-12253 ชธธ.,ยืนยัน
2026-04-29,อคม.,กคฟ-ธ.,-,ดีเซล,32.298,1300,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-12,อบย.,กวย-ธ.,หบกค-ธ.,ดีเซล,48.38,2000,1นช4027 กทม.,07-12238 ชธธ.,ยืนยัน
2026-05-12,อบย.,กวย-ธ.,หบกค-ธ.,ดีเซล,48.96,2000,1นช4027 กทม.,07-12238 ชธธ.,ยืนยัน
2026-05-12,อบย.,กคข-ธ.,หวรอ-ธ.,ดีเซล,59.81,2600,1นช4091 กทม.,07-12288 ชธธ,ยืนยัน
2026-05-12,อบย.,กคข-ธ.,หวรอ-ธ.,ดีเซล,50.074,2500,1นช4091 กทม.,07-12288 ชธธ.,ยืนยัน
2026-05-12,อบย.,กคข-ธ.,หวรอ-ธ.,ดีเซล,53.96,2200,1นช4091 กทม.,07-12288 ชธธ.,ยืนยัน
2026-05-12,อบย.,กคข-ธ.,หวรอ-ธ.,ดีเซล,57.143,2300,1นช4091 กทม.,07-12288 ชธธ.,ยืนยัน
2026-05-14,อบย.,กผงย-ธ.,หรขย-ธ.,ดีเซล,55.0,2200,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-05-14,ชธธ.,กบคธ-ธ.,หบฟนม-ธ.,ดีเซล,52.174,2100,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-14,ชธธ.,กบคธ-ธ.,หบฟนม-ธ.,ดีเซล,49.19,2000,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-14,ชธธ.,กบคธ-ธ.,หบฟนม-ธ.,ดีเซล,49.334,2000,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-14,ชธธ.,กบคธ-ธ.,หสบฟ-ธ.,ดีเซล,50.01,2100,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-03-31,ชธธ.,กบคธ-ธ.,กบคธ-ธ.,ดีเซล,56.207,2600,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-04-05,ชธธ.,กบคธ-ธ.,กบคธ-ธ.,ดีเซล,51.262,2300,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-04-11,ชธธ.,กบคธ-ธ,กบคธ-ธ,ดีเซล,58.322,2600,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-04-23,ชธธ.,กบคธ-ธ,กบคธ-ธ,ดีเซล,45.367,1900,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-04-25,ชธธ.,กบคธ-ธ,กบคธ-ธ,ดีเซล,22.36,900,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-09-23,ชธธ.,กบค-ธ,กบคธ-ธ.,ดีเซล,25.562,1000,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-03-27,ชธธ.,กบคธ-ธ.,หจคธ-ธ,ดีเซล,23.82,1000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-03-27,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,25.582,1000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-03-31,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,48.912,2000,1นช4041 กทม.,70-12251 ชธธ.,ยืนยัน
2026-04-04,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,41.762,2000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-08,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,39.456,2000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-10,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,41.195,2000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-14,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,44.893,2000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-18,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,46.458,2000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-23,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,47.79,2000,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-25,ชธธ.,กบคธ-ธ,หจคธ-ธ,ดีเซล,22.34,900,1นช4041 กทม.,07-12251 ชธธ.,ยืนยัน
2026-04-17,ชธธ.,กบคธ-ธ.,กบคธ-ธ.,ดีเซล,53.39,2300,1นช4007 กทม,07-12222 ชธธ.,ยืนยัน
2026-04-14,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,55.83,2500,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-04-18,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,54.62,2364,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-04-22,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,47.53,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-04-26,ชธธ.,กบคธ-ธ,หบฟรร-ธ.,ดีเซล,49.29,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-04-30,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,49.29,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-05-06,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,48.57,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-05-10,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,49.59,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-05-13,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,48.63,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-05-14,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,59.62,2500,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-05-15,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,48.193,2000,1นช4080 กทม.,07-12278 ชธธ.,ยืนยัน
2026-05-19,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,33.136,1400,1นช4021 กทม.,07-12233 ชธธ.,ยืนยัน
2026-05-18,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,24.096,1000,1นช4057 กทม.,07-12263 ชธธ.,ยืนยัน
2026-05-16,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,36.144,1500,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-16,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,35.842,1500,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-16,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,35.62,1500,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-11,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,49.15,2000,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-11,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,49.81,2000,3ฒบ2021 กทม.,07-10808 ชธธ.,ยืนยัน
2026-05-15,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,33.735,1400,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-08,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,20.0,800,1นช4011 กทม.,07-12226 ชธธ.,ยืนยัน
2026-05-11,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,25.0,1000,1นช4088 กทม.,07-12285 ชธธ.,ยืนยัน
2026-05-07,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,39.168,1600,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-05-01,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,61.2,2500,ฮฮ7840 กทม.,07-12243 ชธธ.,ยืนยัน
2026-04-30,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,61.18,2500,ฮฮ7840 กทม.,07-12243 ชธธ.,ยืนยัน
2026-05-12,ชธธ.,กบคธ-ธ.,หบฟนม-ธ,ดีเซล,49.47,2000,1นญ7099 กทม.,07-12696 พน.,ยืนยัน
2026-05-07,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,24.48,1000,1นช4079 กทม.,07-12277 ชธธ.,ยืนยัน
2026-04-29,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,49.69,2000,1นช4039 กทม.,07-12250 ชธธ.,ยืนยัน
2026-04-03,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,60.682,2900,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-04-30,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,53.935,2200,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-05-04,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,24.03,1000,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-03,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,53.36,2200,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-01,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,51.408,2100,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-04-30,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,53.84,2200,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-05-21,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,18.908,800,1นช4017 กทม.,07-12230 ชธธ.,ยืนยัน
2026-05-20,อบย.,กบร-ธ.,หบร-ธ.,ดีเซล,56.378,2400,1นช4085 กทม,07-12282 ชธธ.,ยืนยัน
2026-05-21,อบย.,กบร-ธ.,หบร-ธ.,ดีเซล,40.237,1700,1นช4085 กทม.,07-12282 ชธธ.,ยืนยัน
2026-05-22,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,37.87,1600,1นญ7214 กทม.,07-12701 พน.,ยืนยัน
2026-05-21,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,60.98,2600,1นญ7214 กทม.,07-12701 พน.,ยืนยัน
